Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
George Hill,PG,36,MIL,31,0,19.8,1.7,3.8,.437,0.6,2.1,.308,1.0,1.7,.593,.521,1.0,1.4,.727,0.4,1.7,2.1,2.6,0.5,0.1,0.9,1.2,5.0
Malcolm Hill,SF,27,CHI,3,0,0.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Holiday,PG,26,ATL,36,3,16.3,1.8,4.1,.432,0.7,1.6,.429,1.1,2.6,.435,.514,0.6,0.7,.833,0.4,1.0,1.4,1.5,0.6,0.2,0.6,1.6,4.8
Jrue Holiday,PG,32,MIL,29,27,32.1,6.7,15.0,.446,2.3,6.1,.373,4.4,8.9,.496,.522,2.4,2.7,.886,1.2,3.8,5.0,7.1,1.4,0.4,3.1,1.9,18.1
Justin Holiday,SG,33,ATL,27,0,15.0,1.7,4.5,.377,1.1,3.1,.341,0.6,1.4,.459,.496,0.0,0.0,,0.1,0.8,0.9,0.9,0.2,0.4,0.4,1.3,4.5
Richaun Holmes,PF,29,SAC,25,0,9.2,1.2,2.0,.633,0.1,0.1,.667,1.2,1.8,.630,.653,0.3,0.4,.778,0.7,1.4,2.1,0.1,0.1,0.2,0.4,1.5,2.8
Al Horford,C,36,BOS,32,32,30.4,3.5,7.3,.483,2.0,4.6,.426,1.5,2.6,.583,.619,0.2,0.3,.600,1.1,5.3,6.4,2.6,0.4,1.0,0.6,1.8,9.2
Talen Horton-Tucker,SG,22,UTA,34,1,15.7,2.6,6.5,.392,0.6,2.7,.242,1.9,3.9,.496,.441,1.0,1.4,.739,0.5,1.9,2.4,2.4,0.8,0.3,1.2,1.4,6.8
Danuel House Jr.,SF,29,PHI,31,2,16.8,1.7,3.6,.477,0.7,2.1,.338,1.0,1.5,.674,.577,0.9,1.2,.750,0.2,1.8,2.0,0.8,0.2,0.2,0.5,1.4,5.0
Caleb Houstan,SF,20,ORL,30,2,16.5,1.3,3.5,.381,0.9,2.6,.364,0.4,0.9,.429,.514,0.4,0.4,.846,0.7,1.6,2.3,0.6,0.2,0.1,0.3,1.4,4.0
Trevor Hudgins,PG,23,HOU,1,0,4.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Kevin Huerter,SG,24,SAC,38,38,31.3,5.7,11.7,.482,3.0,7.1,.420,2.7,4.7,.576,.609,1.6,2.1,.728,0.6,2.8,3.3,2.9,1.1,0.3,1.6,2.7,15.8
De'Andre Hunter,SF,25,ATL,32,32,31.4,5.6,12.2,.455,1.5,4.2,.353,4.1,8.1,.508,.515,2.8,3.5,.813,0.7,3.6,4.3,1.2,0.5,0.3,1.2,3.0,15.4
Bones Hyland,PG,22,DEN,32,1,20.7,4.6,11.1,.411,2.5,6.2,.406,2.1,4.9,.418,.524,1.8,2.1,.838,0.3,2.0,2.3,3.2,0.6,0.3,1.8,1.7,13.4
Serge Ibaka,PF,33,MIL,16,0,11.6,1.6,3.4,.481,0.4,1.1,.333,1.3,2.3,.556,.537,0.5,0.8,.615,0.9,1.8,2.8,0.3,0.1,0.4,0.7,1.4,4.1
Andre Iguodala,SF,39,GSW,2,0,12.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.5,1.0,1.5,2.0,0.0,0.0,1.5,2.0,1.0
Joe Ingles,SF,35,MIL,10,0,19.6,2.1,6.2,.339,1.7,5.3,.321,0.4,0.9,.444,.476,0.3,0.3,1.000,0.5,1.4,1.9,3.5,0.4,0.1,2.0,1.3,6.2
Brandon Ingram,SF,25,NOP,15,15,32.1,7.3,15.4,.472,1.9,4.0,.467,5.4,11.4,.474,.532,4.4,5.1,.868,0.5,4.6,5.1,4.7,0.9,0.7,2.8,2.2,20.8
Kyrie Irving,PG,30,BRK,30,30,36.5,9.7,19.8,.488,3.1,8.6,.366,6.5,11.2,.582,.567,3.6,3.9,.907,0.9,4.0,4.9,4.7,0.8,0.8,2.2,2.6,26.0
Jaden Ivey,SG,20,DET,40,39,29.7,5.1,12.5,.411,1.4,4.1,.333,3.8,8.4,.448,.465,3.4,4.7,.727,1.1,3.0,4.0,4.1,0.9,0.2,2.8,3.0,15.0
Isaiah Jackson,PF,21,IND,30,3,15.6,2.6,4.6,.565,0.0,0.2,.167,2.6,4.4,.583,.569,1.7,2.5,.684,1.4,2.6,4.0,1.0,0.5,1.2,0.9,2.3,7.0
Jaren Jackson Jr.,C,23,MEM,24,24,26.3,6.0,11.6,.513,1.5,4.2,.366,4.4,7.4,.596,.579,3.2,4.3,.755,2.0,4.5,6.4,0.9,1.0,3.3,1.6,3.0,16.7
Justin Jackson,SF,27,BOS,17,0,4.5,0.3,1.2,.250,0.2,0.8,.286,0.1,0.4,.167,.350,0.1,0.1,.500,0.1,0.4,0.5,0.5,0.2,0.2,0.1,0.3,0.9
Reggie Jackson,PG,32,LAC,39,38,27.6,4.2,10.3,.413,1.5,4.3,.341,2.8,6.0,.464,.484,1.4,1.5,.915,0.5,2.0,2.4,3.7,0.6,0.1,2.0,1.9,11.3
LeBron James,PF,38,LAL,31,31,35.9,11.4,22.3,.510,2.0,6.7,.295,9.4,15.6,.602,.554,4.4,5.8,.756,1.2,7.0,8.2,6.7,1.0,0.5,3.3,1.7,29.1
Ty Jerome,SG,25,GSW,25,1,17.7,2.7,5.4,.496,0.8,2.2,.382,1.8,3.2,.575,.574,1.0,1.0,.962,0.1,1.5,1.6,2.3,0.3,0.1,0.7,1.4,7.2
Isaiah Joe,SG,23,OKC,34,1,13.5,2.3,4.9,.461,1.7,3.9,.435,0.6,1.1,.556,.632,0.8,1.0,.800,0.3,1.7,2.0,1.1,0.6,0.1,0.4,1.5,7.0
Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,.500,0.0,0.5,.000,0.8,1.0,.750,.500,0.3,0.5,.500,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8
Cameron Johnson,PF,26,PHO,8,8,25.3,4.6,10.4,.446,2.8,6.4,.431,1.9,4.0,.469,.578,1.0,1.4,.727,0.6,2.8,3.4,1.8,1.1,0.4,0.3,1.8,13.0
Jalen Johnson,SF,21,ATL,38,6,15.1,2.0,4.4,.464,0.4,1.6,.246,1.6,2.8,.590,.509,0.7,1.1,.700,0.7,2.9,3.6,1.0,0.5,0.5,0.5,1.6,5.2
James Johnson,PF,35,IND,9,0,7.9,0.8,2.1,.368,0.1,0.8,.143,0.7,1.3,.500,.395,0.0,0.0,,0.0,0.9,0.9,0.6,0.1,0.3,0.2,1.9,1.7
Keldon Johnson,SF,23,SAS,35,35,32.0,7.5,17.5,.426,2.5,7.1,.348,5.0,10.3,.481,.498,3.8,5.0,.756,0.8,4.0,4.8,2.7,0.7,0.2,2.2,2.0,21.2
Keon Johnson,SG,20,POR,20,0,12.2,2.0,5.3,.368,0.9,2.6,.333,1.1,2.8,.400,.448,0.3,0.7,.385,0.4,1.4,1.7,1.1,0.6,0.2,1.3,1.3,5.0
Stanley Johnson,SF,26,SAS,14,0,13.9,2.4,4.0,.589,0.9,1.7,.500,1.5,2.3,.656,.696,0.9,1.3,.667,0.4,2.3,2.6,2.1,0.4,0.3,0.9,1.9,6.4
Nikola Jokić,C,27,DEN,37,37,33.5,9.4,15.2,.616,0.9,2.4,.375,8.5,12.8,.661,.646,5.4,6.5,.818,2.0,8.8,10.8,9.7,1.4,0.6,3.4,2.8,25.0
Damian Jones,C,27,LAL,19,1,8.9,1.1,1.9,.556,0.0,0.2,.000,1.1,1.7,.606,.556,0.8,1.1,.750,0.9,1.9,2.8,0.2,0.2,0.6,0.4,0.8,2.9
Derrick Jones Jr.,SF,25,CHI,30,0,14.2,2.0,3.8,.531,0.4,1.2,.343,1.6,2.6,.615,.584,1.2,1.5,.783,0.9,1.6,2.4,0.6,0.5,0.6,0.5,1.4,5.6
Herbert Jones,SF,24,NOP,29,29,28.0,3.4,7.9,.426,0.8,2.8,.296,2.6,5.1,.497,.478,2.4,3.1,.775,1.2,2.5,3.7,2.1,1.5,0.7,1.2,3.3,10.0
Kai Jones,C,22,CHO,24,0,9.4,1.2,2.3,.500,0.1,0.5,.273,1.0,1.9,.556,.527,0.3,0.5,.727,0.8,1.3,2.1,0.2,0.2,0.5,0.4,1.3,2.8
Tre Jones,PG,23,SAS,40,40,29.9,5.1,11.6,.443,0.7,2.7,.274,4.4,8.9,.493,.474,2.4,2.7,.887,0.8,2.9,3.7,6.4,1.4,0.2,2.0,1.6,13.3
Tyus Jones,PG,26,MEM,40,7,23.9,4.1,9.0,.449,1.6,4.1,.389,2.5,5.0,.497,.536,1.1,1.5,.776,0.4,1.9,2.3,4.8,1.0,0.1,1.0,0.4,10.8
DeAndre Jordan,C,34,DEN,28,3,14.0,2.0,2.6,.757,0.0,0.0,1.000,2.0,2.6,.753,.764,0.6,1.3,.472,1.3,3.8,5.1,0.8,0.2,0.7,1.0,1.7,4.6
Cory Joseph,PG,31,DET,35,2,15.6,1.7,4.2,.392,0.6,1.8,.313,1.1,2.4,.452,.459,0.7,1.0,.765,0.3,1.0,1.3,3.1,0.4,0.1,0.7,1.5,4.6
Nikola Jović,PF,19,MIA,15,8,13.6,1.9,4.6,.406,0.5,2.3,.229,1.3,2.3,.588,.464,1.2,1.3,.947,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5
Mfiondu Kabengele,PF,25,BOS,1,0,8.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0
Frank Kaminsky,C,29,ATL,20,0,7.3,0.9,1.6,.563,0.4,0.9,.444,0.5,0.7,.714,.688,0.5,0.6,.833,0.2,1.5,1.6,0.9,0.1,0.0,0.3,0.9,2.7
Trevor Keels,SG,19,NYK,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Kennard,SG,26,LAC,29,8,22.1,3.1,6.3,.489,1.9,4.0,.462,1.2,2.3,.537,.636,0.7,0.7,.950,0.2,2.3,2.5,1.2,0.6,0.1,0.9,1.4,8.7
Walker Kessler,C,21,UTA,41,7,19.0,3.0,4.2,.703,0.0,0.0,,3.0,4.2,.703,.703,1.0,1.7,.557,2.5,4.2,6.7,0.7,0.3,1.9,0.7,2.3,6.9
Braxton Key,SF,25,DET,3,0,3.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.7,0.7,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3
Corey Kispert,SF,23,WAS,33,21,28.1,3.4,7.1,.477,1.8,4.4,.414,1.6,2.7,.578,.604,1.1,1.3,.818,0.5,2.3,2.8,1.4,0.6,0.1,0.7,1.4,9.7
Maxi Kleber,C,31,DAL,22,0,25.6,2.3,4.7,.490,1.1,3.0,.369,1.2,1.8,.692,.606,0.5,0.6,.786,0.9,2.7,3.5,1.0,0.3,1.0,0.6,2.2,6.2
Nathan Knight,PF,25,MIN,19,0,5.7,0.9,1.3,.680,0.1,0.3,.400,0.8,1.1,.750,.720,0.7,1.1,.667,0.5,0.8,1.3,0.3,0.2,0.1,0.5,0.7,2.6
Kevin Knox,SF,23,DET,34,1,14.6,2.0,4.5,.447,1.0,2.9,.357,1.0,1.6,.611,.563,0.7,0.9,.793,0.4,2.0,2.4,0.4,0.4,0.3,0.7,1.8,5.7
Christian Koloko,C,22,TOR,38,19,16.1,1.5,3.0,.496,0.0,0.2,.125,1.5,2.8,.523,.500,0.9,1.3,.667,1.7,1.7,3.5,0.5,0.3,1.2,0.5,2.7,3.9
John Konchar,SG,26,MEM,38,22,24.9,2.7,5.8,.455,1.2,3.3,.373,1.4,2.5,.563,.561,0.5,0.6,.870,1.0,4.3,5.3,1.6,1.1,0.3,0.6,1.5,7.1
Furkan Korkmaz,SG,25,PHI,22,0,11.3,1.3,3.4,.392,0.5,1.6,.343,0.8,1.8,.436,.473,0.9,1.3,.655,0.2,1.0,1.3,0.8,0.3,0.1,0.7,0.5,4.0
Luke Kornet,C,27,BOS,34,0,11.6,1.6,2.3,.684,0.1,0.2,.333,1.5,2.1,.712,.696,0.4,0.5,.833,1.2,1.8,3.1,0.7,0.2,0.7,0.4,1.3,3.7
Vit Krejci,PG,22,ATL,17,0,6.3,0.6,1.5,.385,0.3,1.0,.294,0.3,0.5,.556,.481,0.1,0.1,.500,0.1,0.5,0.6,0.6,0.1,0.1,0.2,0.6,1.5
Jonathan Kuminga,PF,20,GSW,33,4,18.6,2.8,6.0,.472,0.5,1.9,.258,2.4,4.2,.569,.513,1.4,2.0,.672,1.0,2.2,3.2,1.7,0.5,0.5,1.5,2.3,7.5
Kyle Kuzma,PF,27,WAS,40,40,35.0,8.2,17.7,.461,2.5,7.3,.338,5.7,10.4,.547,.530,2.6,3.6,.713,1.0,6.5,7.5,3.8,0.5,0.4,3.0,2.5,21.3
Anthony Lamb,SF,25,GSW,33,3,19.6,2.6,5.3,.494,1.4,3.5,.391,1.2,1.8,.695,.624,0.7,0.9,.759,0.8,2.5,3.3,1.7,0.7,0.2,1.1,2.2,7.2
Jock Landale,C,27,PHO,35,2,14.5,2.4,4.7,.515,0.3,1.4,.229,2.1,3.3,.632,.548,1.5,1.8,.823,1.6,2.3,3.9,0.8,0.3,0.6,0.9,1.8,6.6
Romeo Langford,SG,23,SAS,26,13,20.2,3.2,6.3,.497,0.3,1.4,.250,2.8,5.0,.566,.524,0.8,1.1,.714,1.5,1.3,2.8,1.1,0.6,0.3,0.7,1.7,7.4
Jake LaRavia,PF,21,MEM,23,0,14.4,1.3,3.2,.411,0.8,2.2,.373,0.5,1.0,.500,.541,0.3,0.3,.857,0.7,1.7,2.3,0.8,0.4,0.1,0.7,1.7,3.7
Zach LaVine,SG,27,CHI,37,37,35.4,8.4,17.9,.467,3.1,7.8,.401,5.2,10.1,.517,.554,3.6,4.3,.843,0.6,3.8,4.4,4.3,1.0,0.2,2.5,2.3,23.4
A.J. Lawson,SG,22,TOT,6,0,1.7,0.2,0.7,.250,0.0,0.5,.000,0.2,0.2,1.000,.250,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.2,0.3
Damion Lee,SG,30,PHO,42,2,22.0,2.7,5.9,.462,1.8,3.7,.477,1.0,2.2,.436,.610,1.3,1.4,.949,0.6,2.9,3.5,1.3,0.4,0.1,1.0,1.6,8.6
Saben Lee,PG,23,PHI,2,0,5.0,1.5,2.0,.750,0.0,0.5,.000,1.5,1.5,1.000,.750,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.5,0.5,3.0
Alex Len,C,29,SAC,10,1,4.0,0.5,1.0,.500,0.0,0.1,.000,0.5,0.9,.556,.500,0.3,0.4,.750,0.3,1.0,1.3,0.3,0.0,0.0,0.3,0.7,1.3
Kawhi Leonard,SF,31,LAC,19,17,29.3,6.6,13.8,.477,1.2,3.8,.301,5.4,9.9,.545,.519,3.8,4.6,.830,1.1,5.1,6.1,3.8,1.1,0.3,1.5,1.4,18.2
Caris LeVert,SG,28,CLE,38,20,31.2,4.6,11.0,.414,1.6,4.3,.364,3.0,6.7,.447,.486,1.9,2.7,.733,0.7,3.4,4.2,3.7,0.8,0.2,1.6,2.4,12.6
Kira Lewis Jr.,PG,21,NOP,4,0,9.5,2.0,4.3,.471,0.3,1.0,.250,1.8,3.3,.538,.500,1.5,1.5,1.000,0.3,1.3,1.5,0.3,0.3,0.0,0.8,1.3,5.8
Damian Lillard,PG,32,POR,28,28,35.7,8.5,19.5,.436,3.9,10.8,.358,4.6,8.7,.533,.535,6.6,7.5,.880,0.6,3.3,4.0,7.1,0.9,0.4,3.4,1.9,27.4
Nassir Little,PF,22,POR,21,0,15.3,2.0,4.3,.473,0.8,2.0,.372,1.3,2.3,.563,.560,0.7,1.0,.667,0.3,2.0,2.4,0.9,0.4,0.1,0.7,0.8,5.5
Isaiah Livers,PF,24,DET,22,7,19.5,1.9,4.7,.404,1.3,3.7,.358,0.6,1.0,.565,.543,0.7,0.9,.750,0.5,1.8,2.3,0.6,0.4,0.5,0.6,1.9,5.8
Kenneth Lofton Jr.,PF,20,MEM,6,0,4.0,1.2,2.5,.467,0.0,0.3,.000,1.2,2.2,.538,.467,0.2,0.5,.333,0.2,0.5,0.7,0.7,0.0,0.0,0.2,0.5,2.5
Kevon Looney,C,26,GSW,41,41,23.3,2.7,4.3,.624,0.0,0.0,,2.7,4.3,.624,.624,1.1,1.8,.635,3.0,5.5,8.4,2.8,0.4,0.6,0.4,2.8,6.6
Brook Lopez,C,34,MIL,39,39,30.3,5.5,10.9,.505,1.9,5.0,.381,3.6,5.9,.608,.592,1.6,2.1,.788,2.1,4.4,6.5,1.2,0.5,2.6,1.4,2.4,14.5
Robin Lopez,C,34,CLE,25,1,8.6,1.3,2.0,.640,0.0,0.0,1.000,1.2,2.0,.633,.650,0.4,0.6,.714,0.8,0.7,1.5,0.4,0.0,0.1,0.7,1.1,3.0
Kevin Love,PF,34,CLE,34,3,20.9,3.0,7.4,.402,1.8,5.1,.358,1.1,2.3,.500,.526,1.5,1.7,.877,1.0,6.2,7.2,2.0,0.2,0.2,1.2,1.8,9.2
Kyle Lowry,PG,36,MIA,36,36,35.0,4.1,10.4,.398,2.2,6.5,.336,1.9,3.9,.504,.504,2.6,3.0,.862,0.8,3.7,4.4,5.6,1.1,0.5,2.1,2.9,13.1
Trey Lyles,PF,27,SAC,33,0,14.5,2.1,5.0,.427,1.1,3.1,.350,1.0,1.8,.557,.537,0.9,1.2,.744,1.1,2.5,3.5,0.8,0.3,0.4,0.9,1.2,6.2
Théo Maledon,PG,21,CHO,35,1,16.1,1.8,4.3,.408,0.6,1.8,.323,1.2,2.6,.467,.474,1.4,1.6,.875,0.3,2.1,2.4,2.5,0.8,0.2,1.0,1.0,5.5
Sandro Mamukelashvili,C,23,MIL,17,0,8.5,0.7,2.3,.308,0.3,1.2,.238,0.4,1.1,.389,.372,0.4,0.7,.583,0.6,1.6,2.3,0.8,0.1,0.2,0.3,0.7,2.1
Terance Mann,SG,26,LAC,42,17,21.7,3.2,6.3,.511,0.7,2.1,.348,2.5,4.2,.594,.570,1.1,1.4,.767,1.1,2.6,3.7,1.8,0.6,0.3,1.0,1.8,8.3
Tre Mann,PG,21,OKC,36,4,20.2,3.4,8.7,.391,1.4,4.7,.302,2.0,4.0,.497,.473,0.5,0.7,.680,0.5,2.0,2.5,1.8,0.8,0.2,1.0,1.5,8.7
Boban Marjanović,C,34,HOU,13,0,4.2,1.1,1.5,.737,0.0,0.1,.000,1.1,1.4,.778,.737,0.8,0.9,.833,0.5,0.8,1.3,0.2,0.1,0.1,0.2,0.2,2.9
Lauri Markkanen,SF,25,UTA,41,41,34.2,8.4,16.1,.524,2.9,7.1,.411,5.5,9.0,.613,.615,4.8,5.5,.875,1.9,6.7,8.5,1.9,0.6,0.6,1.8,2.1,24.5
Naji Marshall,SF,25,NOP,39,13,24.1,3.4,7.9,.433,1.1,3.3,.331,2.3,4.5,.508,.503,2.1,2.6,.786,0.8,2.8,3.6,2.4,0.8,0.2,1.2,1.5,10.0
Caleb Martin,PF,27,MIA,34,34,31.4,4.0,8.6,.459,1.4,3.7,.389,2.5,4.9,.512,.543,1.0,1.3,.773,1.5,3.3,4.8,1.9,1.0,0.4,1.1,1.9,10.4
Cody Martin,SF,27,CHO,5,0,18.2,1.6,5.4,.296,0.4,2.4,.167,1.2,3.0,.400,.333,0.0,0.4,.000,0.8,2.6,3.4,1.6,0.6,0.2,0.2,1.0,3.6
Kenyon Martin Jr.,SF,22,HOU,40,8,23.9,4.1,7.5,.552,0.9,2.7,.318,3.3,4.8,.682,.609,1.4,2.1,.647,1.4,3.5,4.8,1.4,0.5,0.3,1.1,1.6,10.5
Tyrese Martin,SG,23,ATL,11,0,3.8,0.5,1.5,.375,0.1,0.5,.200,0.5,1.0,.455,.406,0.2,0.2,1.000,0.2,0.4,0.5,0.0,0.1,0.0,0.1,0.2,1.4
Garrison Mathews,SG,26,HOU,33,0,12.6,1.2,3.4,.345,1.1,3.2,.340,0.1,0.2,.429,.504,0.9,1.0,.939,0.2,1.0,1.2,0.5,0.5,0.1,0.3,1.2,4.4
Bennedict Mathurin,SG,20,IND,41,2,28.0,5.3,12.8,.418,1.6,4.7,.333,3.8,8.1,.467,.479,4.9,5.9,.819,1.0,2.8,3.9,1.4,0.6,0.1,1.8,2.0,17.1
Wesley Matthews,SG,36,MIL,26,0,14.8,0.9,2.9,.320,0.7,2.3,.311,0.2,0.5,.357,.447,0.3,0.4,.900,0.7,0.9,1.6,0.6,0.5,0.2,0.4,1.5,2.9
Tyrese Maxey,SG,22,PHI,21,19,34.3,7.8,17.0,.457,2.6,6.4,.403,5.2,10.6,.489,.532,3.1,4.1,.767,0.3,2.7,3.0,4.0,0.9,0.2,1.8,2.2,21.2
Miles McBride,PG,22,NYK,29,2,14.4,1.4,3.9,.360,0.7,2.6,.280,0.7,1.3,.513,.452,0.4,0.7,.684,0.2,0.6,0.8,1.2,0.6,0.0,0.5,0.9,4.0
