Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CJ McCollum,SG,31,NOP,36,36,35.1,7.8,18.2,.428,2.9,7.3,.402,4.9,10.9,.446,.509,2.3,2.8,.810,0.9,3.9,4.8,5.8,1.0,0.6,2.6,1.8,20.8
T.J. McConnell,PG,30,IND,38,0,17.0,2.3,5.1,.461,0.2,0.5,.300,2.2,4.6,.480,.477,0.6,0.7,.885,0.5,1.7,2.2,4.2,1.0,0.1,1.5,1.2,5.4
Jaden McDaniels,PF,22,MIN,38,38,30.6,4.6,8.6,.529,1.2,3.1,.379,3.4,5.6,.611,.596,1.3,1.7,.742,1.3,2.4,3.8,1.8,1.1,1.1,1.5,3.5,11.6
Jalen McDaniels,SF,25,CHO,42,14,26.5,4.0,8.6,.457,1.2,3.5,.345,2.7,5.1,.535,.528,1.8,2.1,.862,0.8,4.1,4.9,2.1,1.1,0.6,1.4,2.9,10.9
Doug McDermott,SF,31,SAS,36,0,20.4,3.8,8.0,.476,1.9,4.6,.415,1.9,3.4,.556,.594,0.8,1.1,.737,0.3,2.0,2.4,1.4,0.1,0.2,0.9,1.8,10.3
JaVale McGee,C,35,DAL,27,7,8.0,1.7,2.8,.618,0.0,0.1,.250,1.7,2.7,.639,.625,0.5,0.9,.542,0.6,1.8,2.4,0.3,0.1,0.6,0.8,1.2,4.0
Bryce McGowens,SG,20,CHO,15,0,12.9,1.3,3.2,.396,0.4,1.1,.375,0.9,2.1,.406,.458,0.8,0.9,.857,0.2,1.0,1.2,0.9,0.3,0.3,0.5,0.5,3.7
Rodney McGruder,SG,31,DET,17,2,10.8,1.1,2.9,.380,0.9,2.2,.405,0.2,0.8,.308,.530,0.5,0.6,.727,0.6,0.9,1.5,0.6,0.3,0.0,0.4,0.9,3.6
Jordan McLaughlin,PG,26,MIN,18,0,15.9,1.6,3.7,.424,0.4,1.9,.235,1.1,1.8,.625,.485,0.5,0.5,1.000,0.4,1.3,1.7,3.6,0.8,0.1,0.8,0.4,4.1
De'Anthony Melton,PG,24,PHI,37,29,29.8,4.3,10.2,.424,2.4,6.2,.395,1.9,4.0,.470,.544,0.6,0.8,.710,1.1,3.6,4.7,2.9,1.9,0.5,1.6,2.4,11.7
Chimezie Metu,C,25,SAC,27,0,10.9,2.1,3.6,.598,0.2,0.8,.238,2.0,2.8,.697,.624,0.6,0.8,.810,0.7,2.5,3.2,0.7,0.3,0.2,0.7,1.1,5.1
Khris Middleton,SF,31,MIL,7,7,24.4,3.6,11.0,.325,1.6,5.9,.268,2.0,5.1,.389,.396,2.4,2.7,.895,0.1,2.4,2.6,4.4,0.6,0.1,1.6,2.6,11.1
Patty Mills,PG,34,BRK,25,1,12.2,2.0,4.2,.471,1.2,2.9,.417,0.8,1.3,.594,.615,0.6,0.6,.933,0.2,0.8,1.0,1.3,0.3,0.0,0.6,0.5,5.7
Shake Milton,SG,26,PHI,36,9,24.0,4.0,7.9,.512,0.8,2.3,.366,3.2,5.6,.572,.565,1.5,1.8,.833,0.5,2.4,3.0,3.5,0.4,0.2,1.5,1.8,10.4
Josh Minott,SF,20,MIN,7,0,2.3,0.4,0.7,.600,0.0,0.1,.000,0.4,0.6,.750,.600,0.6,0.6,1.000,0.3,0.4,0.7,0.3,0.1,0.3,0.0,0.3,1.4
Davion Mitchell,PG,24,SAC,38,3,19.4,2.5,5.4,.461,0.8,2.4,.326,1.7,3.0,.570,.534,0.3,0.4,.706,0.2,1.3,1.6,2.3,0.6,0.2,1.0,1.6,6.1
Donovan Mitchell,SG,26,CLE,37,37,36.5,10.0,20.5,.489,3.9,9.6,.404,6.2,10.9,.564,.584,5.4,6.1,.881,0.9,3.0,3.9,4.8,1.5,0.4,3.0,2.6,29.3
Evan Mobley,PF,21,CLE,40,40,34.1,5.8,10.5,.551,0.2,1.1,.209,5.6,9.4,.590,.562,2.4,3.6,.676,2.4,6.5,8.8,2.8,0.8,1.3,2.0,2.8,14.2
Isaiah Mobley,PF,23,CLE,8,0,3.3,0.5,1.0,.500,0.1,0.3,.500,0.4,0.8,.500,.563,0.0,0.0,,0.1,1.3,1.4,0.0,0.1,0.0,0.0,0.3,1.1
Chima Moneke,SF,27,SAC,2,0,4.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,1.0,.000,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0
Malik Monk,SG,24,SAC,38,0,23.1,4.9,11.2,.443,1.8,5.6,.318,3.2,5.6,.568,.522,2.4,2.7,.911,0.4,2.0,2.4,3.9,0.6,0.2,2.0,1.6,14.1
Moses Moody,SG,20,GSW,35,3,15.2,1.8,4.1,.448,0.9,2.5,.364,0.9,1.6,.582,.559,0.7,0.9,.727,0.4,1.3,1.7,0.9,0.3,0.1,0.7,1.0,5.3
Wendell Moore Jr.,SG,21,MIN,17,2,5.8,0.8,1.7,.448,0.1,0.7,.167,0.6,1.0,.647,.483,0.2,0.3,.800,0.1,0.6,0.8,0.5,0.3,0.2,0.4,0.6,1.9
Ja Morant,PG,23,MEM,33,33,32.4,9.7,20.8,.464,1.6,5.3,.310,8.0,15.5,.517,.504,6.3,8.4,.750,1.1,4.8,5.9,8.0,1.1,0.2,3.6,1.8,27.2
Marcus Morris,PF,33,LAC,40,40,29.5,4.9,11.2,.439,2.1,5.6,.381,2.8,5.6,.498,.535,1.3,1.6,.800,0.5,4.3,4.8,1.7,0.7,0.5,1.0,2.3,13.2
Markieff Morris,PF,33,BRK,19,1,11.4,1.4,3.2,.443,1.0,2.1,.487,0.4,1.2,.364,.598,0.3,0.3,1.000,0.5,1.8,2.3,1.0,0.3,0.2,0.6,1.2,4.2
Monte Morris,PG,27,WAS,36,36,28.5,3.8,8.2,.463,1.3,3.3,.375,2.6,4.9,.523,.539,1.0,1.3,.766,0.4,3.0,3.4,5.4,0.8,0.2,1.0,1.4,9.9
Trey Murphy III,SF,22,NOP,38,28,28.3,4.2,8.8,.474,2.2,5.5,.404,1.9,3.3,.592,.601,1.8,2.0,.921,0.9,3.0,3.9,1.3,0.9,0.5,0.8,2.1,12.4
Dejounte Murray,SG,26,ATL,35,35,36.4,8.1,18.1,.447,1.9,5.5,.344,6.2,12.7,.492,.499,2.3,2.7,.840,0.7,4.7,5.4,6.1,1.7,0.3,2.4,1.5,20.4
Jamal Murray,PG,25,DEN,33,33,31.8,6.8,15.2,.448,2.1,5.5,.381,4.7,9.7,.486,.517,2.8,3.5,.800,0.7,3.3,3.9,5.3,0.9,0.2,2.0,1.4,18.5
Keegan Murray,SF,22,SAC,37,35,28.7,4.2,9.7,.437,2.4,5.7,.410,1.9,4.0,.476,.558,0.9,1.2,.767,0.9,2.8,3.7,0.9,0.9,0.6,1.0,2.1,11.7
Mike Muscala,C,31,OKC,31,2,14.2,1.9,4.4,.431,1.1,3.0,.376,0.8,1.4,.545,.558,0.8,1.0,.800,0.5,2.6,3.1,0.9,0.3,0.6,0.3,1.7,5.7
Svi Mykhailiuk,SF,25,NYK,12,0,3.3,0.5,1.0,.500,0.5,0.8,.600,0.0,0.2,.000,.750,0.3,0.4,.600,0.0,0.6,0.6,0.1,0.1,0.0,0.2,0.1,1.8
Larry Nance Jr.,PF,30,NOP,31,0,22.8,3.5,5.7,.621,0.3,0.8,.385,3.2,4.9,.662,.650,0.8,1.1,.727,1.7,4.0,5.7,1.8,1.0,0.8,0.9,2.3,8.2
Andrew Nembhard,SG,23,IND,36,27,27.1,3.3,7.0,.476,1.3,3.3,.400,2.0,3.7,.545,.571,0.4,0.5,.889,0.5,2.6,3.1,3.7,1.0,0.2,1.6,2.8,8.4
Aaron Nesmith,SF,23,IND,36,24,23.3,3.4,7.7,.438,1.4,4.0,.361,1.9,3.7,.523,.533,1.5,1.7,.887,0.8,3.0,3.8,1.3,0.8,0.5,0.9,3.3,9.7
Raul Neto,PG,30,CLE,28,0,10.5,1.2,2.3,.524,0.3,1.0,.333,0.9,1.3,.667,.595,0.5,0.6,.875,0.2,0.7,0.9,1.4,0.4,0.0,0.3,0.9,3.2
Georges Niang,PF,29,PHI,38,0,20.1,3.2,7.2,.449,2.3,5.6,.418,0.9,1.6,.557,.611,0.6,0.7,.920,0.2,2.1,2.4,1.1,0.4,0.2,0.8,2.1,9.4
Daishen Nix,PG,20,HOU,32,0,14.1,1.2,3.3,.356,0.7,2.2,.329,0.4,1.1,.412,.466,0.5,0.7,.696,0.3,1.3,1.6,2.5,0.7,0.1,1.4,0.9,3.5
Zeke Nnaji,PF,22,DEN,30,2,11.0,1.7,2.9,.593,0.1,0.6,.158,1.6,2.2,.716,.610,0.6,0.8,.783,1.0,0.7,1.7,0.2,0.2,0.3,0.5,1.8,4.1
Nerlens Noel,C,28,DET,10,1,10.2,0.9,2.2,.409,0.1,0.2,.500,0.8,2.0,.400,.432,0.4,0.6,.667,0.5,2.3,2.8,0.4,0.9,0.5,0.5,1.6,2.3
Jaylen Nowell,SG,23,MIN,41,1,20.2,4.5,10.4,.435,1.1,4.0,.290,3.4,6.5,.523,.489,1.2,1.5,.787,0.7,2.1,2.8,2.2,0.7,0.1,1.0,1.7,11.4
Frank Ntilikina,PG,24,DAL,23,1,12.8,1.0,2.8,.338,0.3,1.7,.211,0.6,1.2,.519,.400,0.4,0.7,.667,0.1,1.4,1.5,1.1,0.3,0.1,0.7,1.5,2.7
Kendrick Nunn,PG,27,LAL,33,2,12.5,2.4,6.1,.386,0.9,2.9,.313,1.5,3.2,.453,.460,0.5,0.5,.882,0.1,1.0,1.2,0.8,0.3,0.0,0.9,0.8,6.1
Jusuf Nurkić,C,28,POR,35,35,28.7,5.4,10.2,.528,0.8,2.0,.400,4.6,8.2,.559,.567,2.9,4.3,.675,2.6,7.5,10.1,2.9,0.9,1.0,2.6,3.7,14.5
Jordan Nwora,SF,24,MIL,29,3,16.0,2.0,5.2,.375,1.0,2.7,.377,1.0,2.6,.373,.470,1.0,1.2,.857,0.7,2.3,3.0,1.0,0.3,0.1,1.0,0.8,6.0
Royce O'Neale,SF,29,BRK,37,37,35.1,3.3,8.2,.401,2.3,5.6,.411,1.0,2.6,.381,.541,0.5,0.7,.654,0.7,4.2,4.9,4.2,0.9,0.8,1.7,3.2,9.4
Chuma Okeke,PF,24,ORL,18,7,21.8,1.8,4.8,.368,1.0,3.3,.300,0.8,1.5,.519,.471,0.9,1.2,.762,1.2,3.1,4.2,1.4,0.6,0.5,0.5,1.9,5.4
Josh Okogie,SG,24,PHO,36,1,11.8,1.4,3.5,.405,0.4,1.5,.241,1.1,2.0,.528,.456,1.1,1.6,.719,1.3,1.5,2.8,1.0,0.6,0.4,0.7,1.4,4.3
Onyeka Okongwu,C,22,ATL,39,12,23.9,3.7,6.1,.619,0.0,0.1,.000,3.7,6.0,.627,.619,1.6,2.2,.736,2.7,4.5,7.2,0.9,0.6,1.1,1.0,3.2,9.1
Isaac Okoro,SG,22,CLE,42,12,18.9,1.8,4.2,.438,0.5,1.9,.284,1.3,2.3,.568,.503,1.0,1.3,.774,0.6,1.8,2.4,0.8,0.6,0.4,0.5,2.0,5.2
KZ Okpala,PF,23,SAC,27,3,7.9,0.6,1.2,.469,0.2,0.6,.375,0.3,0.6,.563,.563,0.2,0.2,1.000,0.3,0.9,1.1,0.5,0.2,0.3,0.2,1.3,1.6
Victor Oladipo,SG,30,MIA,16,1,27.8,3.8,9.3,.409,1.6,5.0,.325,2.2,4.3,.507,.497,2.2,2.8,.778,0.4,2.6,3.1,3.3,1.8,0.3,1.7,2.8,11.4
Kelly Olynyk,PF,31,UTA,39,39,28.5,4.0,8.0,.503,1.5,3.5,.413,2.6,4.5,.575,.595,2.6,3.2,.831,1.1,3.8,5.0,3.3,1.1,0.6,2.3,4.0,12.2
Eugene Omoruyi,SF,25,OKC,20,2,12.4,2.1,4.3,.482,0.4,1.5,.276,1.7,2.8,.589,.529,0.7,1.1,.619,1.0,1.4,2.3,0.6,0.7,0.0,0.7,2.1,5.2
Cedi Osman,SF,27,CLE,40,0,23.1,3.6,7.7,.464,1.5,4.2,.343,2.1,3.4,.613,.559,1.1,1.6,.646,0.3,2.2,2.5,1.6,0.5,0.1,0.9,1.9,9.6
Kelly Oubre Jr.,SF,27,CHO,35,30,32.6,7.5,17.8,.421,2.3,7.4,.308,5.2,10.4,.503,.486,2.9,4.0,.714,1.5,3.6,5.1,1.2,1.6,0.4,1.3,3.0,20.2
Chris Paul,PG,37,PHO,26,26,31.1,4.4,10.3,.425,1.7,4.2,.398,2.7,6.2,.444,.506,2.7,3.3,.802,0.5,3.7,4.2,8.3,1.5,0.3,2.0,2.4,13.1
Cameron Payne,PG,28,PHO,28,14,24.0,4.5,11.0,.412,1.7,4.5,.378,2.8,6.5,.436,.490,1.4,1.8,.776,0.3,2.0,2.3,5.3,0.9,0.2,2.0,2.0,12.1
Gary Payton II,PG,30,POR,2,0,14.5,2.0,2.5,.800,0.5,0.5,1.000,1.5,2.0,.750,.900,0.0,0.0,,0.0,2.0,2.0,2.5,1.5,0.0,2.0,2.0,4.5
Theo Pinson,SG,27,DAL,21,0,4.4,0.3,1.1,.292,0.2,0.8,.313,0.1,0.4,.250,.396,0.4,0.4,.889,0.0,1.0,1.0,0.2,0.1,0.0,0.1,0.2,1.3
Scotty Pippen Jr.,PG,22,LAL,5,0,5.2,0.6,2.0,.300,0.2,0.6,.333,0.4,1.4,.286,.350,0.8,1.4,.571,0.4,0.4,0.8,0.2,0.4,0.2,0.4,0.6,2.2
Mason Plumlee,C,32,CHO,42,42,27.9,4.3,6.6,.655,0.0,0.0,,4.3,6.6,.655,.655,2.5,4.2,.599,3.3,6.2,9.5,3.7,0.6,0.7,1.6,3.1,11.2
Jakob Poeltl,C,27,SAS,32,32,26.4,5.2,8.0,.642,0.0,0.0,,5.2,8.0,.642,.642,1.6,2.8,.573,3.4,6.0,9.4,3.0,0.9,1.1,2.1,2.5,11.9
Aleksej Pokusevski,PF,21,OKC,31,25,21.8,3.5,7.8,.440,1.2,3.3,.376,2.2,4.6,.486,.519,0.7,1.1,.636,1.5,3.6,5.1,2.0,0.6,1.3,1.3,1.8,8.8
Jordan Poole,SG,23,GSW,41,21,30.1,7.0,16.4,.428,2.5,8.1,.310,4.5,8.3,.543,.504,4.2,4.9,.865,0.4,2.1,2.5,4.5,0.7,0.2,3.5,2.3,20.8
Kevin Porter Jr.,PG,22,HOU,39,39,34.6,6.8,15.6,.438,2.2,6.5,.345,4.6,9.2,.503,.509,3.6,4.7,.766,1.4,4.1,5.5,5.7,1.3,0.4,3.7,2.8,19.5
Michael Porter Jr.,SF,24,DEN,26,26,29.1,6.0,12.7,.468,2.7,6.7,.410,3.2,6.1,.532,.576,1.6,2.1,.759,1.1,4.8,5.9,1.2,0.6,0.5,1.2,2.4,16.2
Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,.500,0.8,2.1,.353,1.1,1.6,.692,.600,1.0,1.0,1.000,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5
Bobby Portis,PF,27,MIL,40,9,26.3,5.9,11.9,.500,1.2,3.6,.324,4.8,8.3,.575,.549,1.1,1.4,.815,2.6,7.5,10.1,1.8,0.4,0.3,1.2,1.7,14.1
Kristaps Porziņģis,PF,27,WAS,37,37,32.7,7.3,15.4,.476,1.8,5.3,.335,5.5,10.1,.551,.534,5.5,6.8,.810,2.0,7.0,9.0,2.4,1.0,1.5,2.2,2.9,22.0
Micah Potter,PF,24,UTA,3,0,4.7,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.0,0.0,,0.3,0.7,1.0,0.7,0.0,0.0,0.0,0.7,1.3
Dwight Powell,C,31,DAL,37,26,17.4,2.2,2.9,.734,0.0,0.1,.000,2.2,2.9,.748,.734,1.6,2.2,.707,1.9,1.9,3.8,0.6,0.5,0.4,0.8,2.8,5.9
Norman Powell,SG,29,LAC,33,5,25.2,5.3,11.2,.473,1.7,4.2,.393,3.6,6.9,.522,.548,3.3,4.2,.777,0.3,2.6,2.9,1.7,0.8,0.4,1.8,2.0,15.5
Jason Preston,PG,23,LAC,7,0,9.1,1.1,3.0,.381,0.6,1.6,.364,0.6,1.4,.400,.476,0.0,0.3,.000,0.1,1.3,1.4,2.0,0.1,0.0,0.6,0.7,2.9
Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,.346,0.8,3.0,.250,1.5,3.5,.429,.404,1.8,2.3,.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0
Taurean Prince,SF,28,MIN,21,0,20.2,3.1,6.1,.508,1.3,3.3,.391,1.8,2.8,.644,.613,1.0,1.2,.769,0.3,2.0,2.4,1.2,0.3,0.2,1.3,2.7,8.4
Payton Pritchard,PG,25,BOS,26,1,9.6,1.6,3.8,.420,0.8,2.1,.364,0.8,1.7,.489,.520,0.3,0.5,.667,0.4,0.7,1.1,1.0,0.3,0.0,0.7,0.3,4.3
Trevelin Queen,PG,25,IND,2,0,10.0,0.0,1.5,.000,0.0,1.5,.000,0.0,0.0,,.000,0.0,0.0,,0.5,1.0,1.5,1.0,0.5,0.5,1.5,0.5,0.0
Neemias Queta,C,23,SAC,4,0,6.3,1.5,2.0,.750,0.0,0.0,,1.5,2.0,.750,.750,0.0,0.5,.000,1.0,1.3,2.3,0.3,0.0,0.3,0.3,1.8,3.0
Immanuel Quickley,PG,23,NYK,41,8,27.0,4.2,10.2,.417,1.6,4.8,.333,2.6,5.3,.493,.496,2.1,2.5,.842,0.6,3.5,4.1,3.3,1.0,0.1,1.2,2.1,12.2
Julius Randle,PF,28,NYK,41,41,35.3,8.1,17.9,.456,2.7,7.8,.340,5.5,10.0,.547,.531,5.4,7.2,.753,2.1,8.0,10.1,3.8,0.8,0.3,2.6,3.1,24.4
Austin Reaves,SG,24,LAL,36,12,28.9,3.4,7.1,.488,1.3,3.5,.360,2.2,3.6,.612,.577,2.6,2.9,.896,0.6,2.4,3.1,2.2,0.6,0.4,1.4,1.7,10.8
Cam Reddish,SF,23,NYK,20,8,21.9,3.1,6.8,.449,0.9,2.8,.304,2.2,4.0,.550,.511,1.5,1.7,.879,0.4,1.2,1.6,1.0,0.8,0.4,0.8,1.6,8.4
Davon Reed,SG,27,DEN,27,1,9.3,0.7,2.3,.311,0.5,1.4,.351,0.2,0.9,.250,.418,0.5,0.7,.722,0.3,1.1,1.4,0.6,0.3,0.1,0.5,1.0,2.4
Paul Reed,C,23,PHI,33,0,9.9,1.4,2.4,.577,0.0,0.1,.000,1.4,2.3,.600,.577,0.4,0.5,.778,1.3,2.1,3.3,0.4,0.8,0.7,0.6,2.0,3.2
Naz Reid,C,23,MIN,33,4,17.6,4.2,7.5,.556,1.0,2.7,.375,3.2,4.8,.656,.623,1.1,1.7,.636,0.9,3.8,4.7,0.9,0.5,0.9,1.2,2.2,10.4
Jared Rhoden,G,23,DET,1,0,12.0,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
Nick Richards,C,25,CHO,36,0,17.6,3.2,5.1,.620,0.0,0.0,,3.2,5.1,.620,.620,2.1,2.8,.733,2.7,3.2,5.9,0.6,0.2,0.8,0.8,2.2,8.4
Josh Richardson,SG,29,SAS,31,3,23.0,4.0,9.2,.432,1.7,4.8,.356,2.3,4.4,.515,.525,1.4,1.5,.875,0.6,2.0,2.6,3.2,0.8,0.1,1.6,1.6,11.0
Austin Rivers,SG,30,MIN,31,9,20.3,1.8,4.0,.452,0.9,2.4,.378,0.9,1.6,.560,.565,0.8,0.9,.862,0.1,1.6,1.6,1.5,0.5,0.0,0.6,1.7,5.3
Duncan Robinson,SF,28,MIA,28,0,17.9,2.3,6.2,.368,1.6,5.0,.331,0.6,1.3,.514,.500,0.7,0.8,.909,0.3,1.7,1.9,1.2,0.3,0.0,0.7,2.0,6.9
Mitchell Robinson,C,24,NYK,33,32,26.5,3.2,4.6,.693,0.0,0.0,,3.2,4.6,.693,.693,1.0,1.9,.540,4.3,4.7,9.0,1.0,0.8,1.7,0.5,3.0,7.5
Orlando Robinson,C,22,MIA,14,1,15.4,2.2,3.9,.574,0.0,0.4,.000,2.2,3.5,.633,.574,0.8,1.0,.786,1.6,2.7,4.3,1.0,0.6,0.4,0.6,2.0,5.2
Jeremiah Robinson-Earl,PF,22,OKC,26,18,21.1,3.3,6.7,.489,1.1,2.9,.382,2.2,3.8,.571,.572,0.8,1.1,.786,2.0,3.0,5.0,1.0,0.7,0.4,0.6,1.9,8.5
Isaiah Roby,PF,24,SAS,31,1,10.7,1.5,3.4,.438,0.5,1.5,.311,1.0,1.9,.533,.505,0.4,0.9,.448,0.4,1.9,2.4,1.0,0.4,0.2,0.6,1.2,3.8
David Roddy,PF,21,MEM,37,1,18.6,2.5,6.0,.410,0.9,3.2,.277,1.6,2.8,.563,.484,0.7,1.2,.581,0.6,2.1,2.7,0.7,0.4,0.3,0.8,1.5,6.5
Ryan Rollins,PG,20,GSW,12,0,5.2,0.6,1.7,.350,0.3,0.8,.333,0.3,0.9,.364,.425,0.5,0.5,1.000,0.3,0.8,1.0,0.5,0.1,0.1,1.3,0.8,1.9
Derrick Rose,PG,34,NYK,26,0,12.9,2.3,6.0,.394,0.7,2.3,.317,1.6,3.7,.442,.455,0.4,0.5,.917,0.3,1.2,1.5,1.8,0.3,0.2,0.8,0.7,5.8
